"Drug","Candidate.class","Drug.therapeutic.score","P.value","FDR","Number.of.celltypes","Number.of.themes","Strong.pathway.themes","Themes","Cell.types","Therapeutic.component","Statistical.component","Celltype.component","Pathway.component","Final.evidence.score","Final.rank"
"neratinib","Transition-associated",0.743883469025108,1.84119477931945e-13,1.83198880542285e-10,2,3,3,"Metabolic processes; Other; Translation / ribosomal processes","Luminal_L1.1_epithelial_cells; Luminal_L1.2_epithelial_cells",0.928086683583024,1,1,0.75,0.92123467343321,1
"vorinostat","Treatment-contrast-specific",0.793157975253944,5.5039789329045e-09,1.82548634607999e-06,1,2,2,"ECM / extracellular structure; Mitochondrial respiration / oxidative phosphorylation","Basal_epithelial_cells",1,0.523071067521385,0.5,0.5,0.705767766880346,2
"bortezomib","Treatment-contrast-specific",0.509535360053268,2.42589822908769e-05,0.00344824105420322,1,2,2,"ECM / extracellular structure; Mitochondrial respiration / oxidative phosphorylation","Basal_epithelial_cells",0.586069056172494,0.132289292573977,0.5,0.5,0.442499945612492,3
