"Drug","Candidate.class","Drug.therapeutic.score","P.value","FDR","Number.of.celltypes","Number.of.themes","Strong.pathway.themes","Themes","Cell.types","Therapeutic.component","Statistical.component","Celltype.component","Pathway.component","Final.evidence.score","Final.rank"
"neratinib","Transition-associated",0.743883469025108,1.84119477931945e-13,1.83198880542285e-10,2,3,3,"Metabolic processes; Other; Translation / ribosomal processes","Luminal_L1.1_epithelial_cells; Luminal_L1.2_epithelial_cells",0.928086683583024,1,1,0.75,0.92123467343321,1
"vorinostat","Treatment-contrast-specific",0.793157975253944,5.5039789329045e-09,1.82548634607999e-06,1,2,2,"ECM / extracellular structure; Mitochondrial respiration / oxidative phosphorylation","Basal_epithelial_cells",1,0.523071067521385,0.5,0.5,0.705767766880346,2
"bortezomib","Treatment-contrast-specific",0.509535360053268,2.42589822908769e-05,0.00344824105420322,1,2,2,"ECM / extracellular structure; Mitochondrial respiration / oxidative phosphorylation","Basal_epithelial_cells",0.586069056172494,0.132289292573977,0.5,0.5,0.442499945612492,3
"pazopanib","Treatment-contrast-specific",0.107964902761958,7.18982959183181e-06,0.00119231340731211,1,3,3,"Metabolic processes; Other; Translation / ribosomal processes","Luminal_L2_epithelial_cells",0,0.187301293595482,0.5,0.75,0.27182532339887,4
"sorafenib","Treatment-contrast-specific",0.134679131000243,0.000668262267046078,0.0443280637140565,1,3,3,"Metabolic processes; Other; Translation / ribosomal processes","Luminal_L2_epithelial_cells",0.0389878843070139,0,0.5,0.75,0.240595153722806,5
"tretinoin","Treatment-contrast-specific",0.199680533324824,6.10000676874746e-06,0.00119231340731211,1,1,1,"Translation / ribosomal processes","Luminal_L1.2_epithelial_cells",0.133853703787904,0.187301293595482,0.5,0.25,0.225366804914032,6
"raloxifene","Treatment-contrast-specific",0.131117852863528,0.000301322499032107,0.0249846572114122,1,2,2,"ECM / extracellular structure; Mitochondrial respiration / oxidative phosphorylation","Basal_epithelial_cells",0.033790403071889,0.0297009320965821,0.5,0.5,0.195941394252901,7
